t,rc
0.001526718,0.06870229
0.001908397,0.08778626
0.003435115,0.105343511
0.004580153,0.117557252
0.005725191,0.127480916
0.00648855,0.138931298
0.007633588,0.148854962
0.009923664,0.158015267
0.010305344,0.167938931
0.011832061,0.176335878
0.01221374,0.182442748
0.014122137,0.188549618
0.015648855,0.196183206
0.016412214,0.202290076
0.01870229,0.216793893
0.020992366,0.227480916
0.023282443,0.239694656
0.025954198,0.251145038
0.028244275,0.260305344
0.031679389,0.275572519
0.036641221,0.295419847
0.041603053,0.313740458
0.047328244,0.332824427
0.053435115,0.357251908
0.061450382,0.383969466
0.071374046,0.409160305
0.079389313,0.43129771
0.087022901,0.454198473
