t,rc
0.002290076,0.065648855
0.00610687,0.110687023
0.009923664,0.13740458
0.014122137,0.158015267
0.018320611,0.178625954
0.021755725,0.191603053
0.025572519,0.205343511
0.030152672,0.217557252
0.033969466,0.228244275
0.03778626,0.238167939
0.041984733,0.248854962
0.045419847,0.257251908
0.053816794,0.274045802
0.069083969,0.303053435
0.077099237,0.316030534
0.085114504,0.327480916
0.092366412,0.338931298
0.104961832,0.354961832
0.116412214,0.36870229
0.128244275,0.382442748
0.14389313,0.400763359
0.159923664,0.416793893
0.179389313,0.435114504
0.199618321,0.451908397
0.222900763,0.467175573
0.250381679,0.487022901
0.290076336,0.51221374
