t,rc
0.003053435,0.060305344
0.006870229,0.104580153
0.010305344,0.129770992
0.013740458,0.148854962
0.016030534,0.164885496
0.020229008,0.177862595
0.023664122,0.190839695
0.026717557,0.201526718
0.030152672,0.212977099
0.033587786,0.221374046
0.037022901,0.229007634
0.04351145,0.244274809
0.05,0.259541985
0.05648855,0.271755725
0.064122137,0.284732824
0.069465649,0.295419847
0.080534351,0.310687023
0.090076336,0.324427481
0.099618321,0.338167939
0.112977099,0.354198473
0.126717557,0.370229008
0.143129771,0.387022901
0.159541985,0.403816794
0.176717557,0.418320611
0.196946565,0.434351145
0.216412214,0.448854962
0.235877863,0.461832061
0.259923664,0.476335878
0.275954198,0.485496183
